Sample	Plant	sex	Rep	Combinetag	Repplant
A1	Apple	Male	1	PGF	1
A2	Apple	Male	2	PGF	2
A3	Apple	Male	3	PGF	3
A4	Apple	Female	1	PGFM	4
A5	Apple	Female	2	PGFM	5
A6	Apple	Female	3	PGFM	6
A7	Locust	Male	1	HSF	1
A8	Locust	Male	2	HSF	2
A9	Locust	Male	3	HSF	3
A10	Locust	Female	1	HSFM	4
A11	Locust	Female	2	HSFM	5
A12	Locust	Female	3	HSFM	6
A13	Willow	Male	1	LSF	1
A14	Willow	Male	2	LSF	2
A15	Willow	Male	3	LSF	3
A16	Willow	Female	1	LSFM	4
A17	Willow	Female	2	LSFM	5
A18	Willow	Female	3	LSFM	6
A19	Rose	Male	1	YJF	1
A20	Rose	Male	2	YJF	2
A21	Rose	Male	3	YJF	3
A22	Rose	Female	1	YJFM	4
A23	Rose	Female	2	YJFM	5
A24	Rose	Female	3	YJFM	6
A25	Seabuckthorn	Male	1	SJF	1
A26	Seabuckthorn	Male	2	SJF	2
A27	Seabuckthorn	Male	3	SJF	3
A28	Seabuckthorn	Female	1	SJFM	4
A29	Seabuckthorn	Female	2	SJFM	5
A30	Seabuckthorn	Female	3	SJFM	6
A31	Filbert	Male	1	SHTF	1
A32	Filbert	Male	2	SHTF	2
A33	Filbert	Male	3	SHTF	3
A34	Filbert	Female	1	SHTFM	4
A35	Filbert	Female	2	SHTFM	5
A36	Filbert	Female	3	SHTFM	6
A37	Apricot	Male	1	XSF	1
A38	Apricot	Male	2	XSF	2
A39	Apricot	Male	3	XSF	3
A40	Apricot	Female	1	XSFM	4
A41	Apricot	Female	2	XSFM	5
A42	Apricot	Female	3	XSFM	6
A43	Elm	Male	1	YSF	1
A44	Elm	Male	2	YSF	2
A45	Elm	Male	3	YSF	3
A46	Elm	Female	1	YSFM	4
A47	Elm	Female	2	YSFM	5
A48	Elm	Female	3	YSFM	6
