"Df"	"Sum Sq"	"Mean Sq"	"F value"	"Pr(>F)"	"Item"	"signif"	"Category2"
7	0.000909256032904905	0.000129893718986415	8.9291796949694	4.56905257939854e-06	"Plant      "	"***"	"AA"
1	6.62864497933504e-06	6.62864497933504e-06	0.455667622857342	0.504504284237386	"sex        "	"ns"	"AA"
7	0.000102554726377082	1.4650675196726e-05	1.00711960905422	0.444668026642175	"Plant:sex  "	"ns"	"AA"
32	0.000465507375767906	1.45471054927471e-05	NA	NA	"Residuals  "	NA	"AA"
7	5.36556750375361e-05	7.66509643393372e-06	2.30294101349501	0.0508566321315133	"Plant      "	"ns"	"CBM"
1	8.61929164332344e-06	8.61929164332344e-06	2.58962433203172	0.117388438213508	"sex        "	"ns"	"CBM"
7	2.68568215494691e-05	3.8366887927813e-06	1.1527145226506	0.356526567174437	"Plant:sex  "	"ns"	"CBM"
32	0.000106508627206925	3.32839460021642e-06	NA	NA	"Residuals  "	NA	"CBM"
7	0.000272681142043653	3.8954448863379e-05	5.58265197717667	0.000287321428924344	"Plant      "	"***"	"CE"
1	6.40963562554233e-05	6.40963562554233e-05	9.18579675543948	0.00480100244253804	"sex        "	"**"	"CE"
7	5.18730553368453e-05	7.41043647669218e-06	1.0620067554656	0.409735951973468	"Plant:sex  "	"ns"	"CE"
32	0.000223288567642102	6.97776773881568e-06	NA	NA	"Residuals  "	NA	"CE"
7	2.76176283106200e-09	3.94537547294571e-10	2.46509665127332	0.0384134917651452	"Plant      "	"*"	"cohesin"
1	7.51405872762198e-10	7.51405872762198e-10	4.6948335168471	0.037807197123382	"sex        "	"*"	"cohesin"
7	1.45035132320645e-09	2.0719304617235e-10	1.29455583578523	0.284556679394637	"Plant:sex  "	"ns"	"cohesin"
32	5.12158478934481e-09	1.60049524667025e-10	NA	NA	"Residuals  "	NA	"cohesin"
7	1.33350607719293e-09	1.90500868170418e-10	1.23874657157623	0.311271308855713	"Plant      "	"ns"	"dockerin"
1	5.45410220482571e-10	5.45410220482571e-10	3.54657197740968	0.0687852339748121	"sex        "	"ns"	"dockerin"
7	6.03714711959053e-10	8.62449588512933e-11	0.560814489292509	0.781716163538565	"Plant:sex  "	"ns"	"dockerin"
32	4.9211258552236e-09	1.53785182975738e-10	NA	NA	"Residuals  "	NA	"dockerin"
7	0.0171598891078936	0.00245141272969908	6.42340460784207	9.21777077869763e-05	"Plant      "	"***"	"GH"
1	2.16886183910587e-05	2.16886183910587e-05	0.0568304021689388	0.813097651180511	"sex        "	"ns"	"GH"
7	0.00273963944041389	0.00039137706291627	1.02552018225371	0.4327308802037	"Plant:sex  "	"ns"	"GH"
32	0.01221240325646	0.000381637601764375	NA	NA	"Residuals  "	NA	"GH"
7	0.00722878144825361	0.00103268306403623	3.84235357332481	0.00386573865639165	"Plant      "	"**"	"GT"
1	2.85777829672039e-05	2.85777829672039e-05	0.106330732366774	0.746483836370074	"sex        "	"ns"	"GT"
7	0.00141935086168166	0.000202764408811666	0.754435293724604	0.628672052419112	"Plant:sex  "	"ns"	"GT"
32	0.00860042091872473	0.000268763153710148	NA	NA	"Residuals  "	NA	"GT"
7	4.45105808551752e-05	6.35865440788217e-06	1.71226866034754	0.141381330872337	"Plant      "	"ns"	"PL"
1	4.47963151636868e-06	4.47963151636868e-06	1.20628236154415	0.280265077554221	"sex        "	"ns"	"PL"
7	4.44085070453344e-05	6.34407243504777e-06	1.70834200330836	0.142335824309526	"Plant:sex  "	"ns"	"PL"
32	0.000118834704952744	3.71358452977324e-06	NA	NA	"Residuals  "	NA	"PL"
7	0.000177977262363615	2.54253231948022e-05	3.6917778356162	0.00492100833339035	"Plant      "	"**"	"SLH"
1	9.49513939136468e-05	9.49513939136468e-05	13.7870204766139	0.000778377109386175	"sex        "	"***"	"SLH"
7	8.83052087962837e-05	1.26150298280405e-05	1.83171270461247	0.11512338770753	"Plant:sex  "	"ns"	"SLH"
32	0.000220384426815832	6.88701333799476e-06	NA	NA	"Residuals  "	NA	"SLH"
