"Df"	"Sum Sq"	"Mean Sq"	"F value"	"Pr(>F)"	"Item"	"signif"	"Category3"	"keggID"	"Category1"	"Category2"
7	4.4490326382546e-06	6.35576091179228e-07	4.14055739376164	0.00241556498267849	"Plant      "	"**"	"2-Oxocarboxylic acid metabolism"	"Kegg1"	"Metabolism"	"Global and overview maps"
1	3.30013413707055e-07	3.30013413707055e-07	2.14992272228179	0.152335897225623	"sex        "	"ns"	"2-Oxocarboxylic acid metabolism"	"Kegg1"	"Metabolism"	"Global and overview maps"
7	3.33489729476075e-06	4.76413899251535e-07	3.10367101659979	0.012942455194506	"Plant:sex  "	"*"	"2-Oxocarboxylic acid metabolism"	"Kegg1"	"Metabolism"	"Global and overview maps"
32	4.91200410562553e-06	1.53500128300798e-07	NA	NA	"Residuals  "	NA	"2-Oxocarboxylic acid metabolism"	"Kegg1"	"Metabolism"	"Global and overview maps"
7	6.53833048855908e-05	9.34047212651297e-06	3.1705416504857	0.011573237007163	"Plant      "	"*"	"ABC transporters"	"Kegg2"	"Environmental Information Processing"	"Membrane transport"
1	6.47781212169365e-05	6.47781212169365e-05	21.9883672448988	4.89341518061166e-05	"sex        "	"***"	"ABC transporters"	"Kegg2"	"Environmental Information Processing"	"Membrane transport"
7	6.94387966608213e-05	9.91982809440305e-06	3.3671989716332	0.00835241427423545	"Plant:sex  "	"**"	"ABC transporters"	"Kegg2"	"Environmental Information Processing"	"Membrane transport"
32	9.42725694843426e-05	2.94601779638571e-06	NA	NA	"Residuals  "	NA	"ABC transporters"	"Kegg2"	"Environmental Information Processing"	"Membrane transport"
7	1.91615816396616e-08	2.73736880566594e-09	2.02079327280089	0.0829872794750452	"Plant      "	"ns"	"AMPK signaling pathway"	"Kegg3"	"Environmental Information Processing"	"Signal transduction"
1	3.67899213570694e-08	3.67899213570694e-08	27.1592287569571	1.074183676342e-05	"sex        "	"***"	"AMPK signaling pathway"	"Kegg3"	"Environmental Information Processing"	"Signal transduction"
7	2.42484426646753e-08	3.46406323781075e-09	2.55725705394011	0.0327698058452992	"Plant:sex  "	"*"	"AMPK signaling pathway"	"Kegg3"	"Environmental Information Processing"	"Signal transduction"
32	4.33472354447713e-08	1.3546011076491e-09	NA	NA	"Residuals  "	NA	"AMPK signaling pathway"	"Kegg3"	"Environmental Information Processing"	"Signal transduction"
7	9.82653115731092e-08	1.40379016533013e-08	1.54435788715676	0.188138869948946	"Plant      "	"ns"	"Acarbose and validamycin biosynthesis"	"Kegg4"	"Metabolism"	"Biosynthesis of other secondary metabolites"
1	3.88136201807743e-10	3.88136201807743e-10	0.0427001997418816	0.837600039354819	"sex        "	"ns"	"Acarbose and validamycin biosynthesis"	"Kegg4"	"Metabolism"	"Biosynthesis of other secondary metabolites"
7	2.4208530820825e-08	3.45836154583214e-09	0.38046625926386	0.906923662949446	"Plant:sex  "	"ns"	"Acarbose and validamycin biosynthesis"	"Kegg4"	"Metabolism"	"Biosynthesis of other secondary metabolites"
32	2.90873544688962e-07	9.08979827153006e-09	NA	NA	"Residuals  "	NA	"Acarbose and validamycin biosynthesis"	"Kegg4"	"Metabolism"	"Biosynthesis of other secondary metabolites"
