"Df"	"Sum Sq"	"Mean Sq"	"F value"	"Pr(>F)"	"Item"	"signif"	"phylum"
7	0.208907061519779	0.0298438659313969	1.53100536369068	0.192422200007305	"Plant      "	"ns"	"Pseudomonadota"
1	7.85391164515752e-05	7.85391164515752e-05	0.00402909625794783	0.949782989567363	"sex        "	"ns"	"Pseudomonadota"
7	0.113939557650224	0.0162770796643177	0.835022390483054	0.566494356075841	"Plant:sex  "	"ns"	"Pseudomonadota"
32	0.623775548050693	0.0194929858765842	NA	NA	"Residuals  "	NA	"Pseudomonadota"
7	0.156680985949959	0.0223829979928512	4.72882944916867	0.000984898570281985	"Plant      "	"***"	"Bacteroidota"
1	0.0481657643975699	0.0481657643975699	10.1759239400233	0.00317887944671301	"sex        "	"**"	"Bacteroidota"
7	0.0582651320104477	0.00832359028720681	1.758515051716	0.130592455827598	"Plant:sex  "	"ns"	"Bacteroidota"
32	0.151465800040041	0.00473330625125128	NA	NA	"Residuals  "	NA	"Bacteroidota"
7	0.0997427810057723	0.0142489687151103	2.62961586476789	0.0289368506134115	"Plant      "	"*"	"Bacillota_A"
1	0.0273652190019925	0.0273652190019925	5.05019103271502	0.0316489987168241	"sex        "	"*"	"Bacillota_A"
7	0.108788427477338	0.015541203925334	2.86809503317341	0.0192574635227988	"Plant:sex  "	"*"	"Bacillota_A"
32	0.173396808633788	0.00541865026980588	NA	NA	"Residuals  "	NA	"Bacillota_A"
7	0.0110717540746321	0.00158167915351887	1.91120134170362	0.100345870353456	"Plant      "	"ns"	"Bacillota_C"
1	8.21542535716002e-05	8.21542535716002e-05	0.0992700190195868	0.754752859933293	"sex        "	"ns"	"Bacillota_C"
7	0.00244067751995331	0.000348668217136187	0.421308685087971	0.881740816791597	"Plant:sex  "	"ns"	"Bacillota_C"
32	0.0264826796675892	0.000827583739612163	NA	NA	"Residuals  "	NA	"Bacillota_C"
7	0.00379167915831241	0.000541668451187487	3.31358424447039	0.00912538225078307	"Plant      "	"**"	"Desulfobacterota"
1	0.00045800895023466	0.00045800895023466	2.80180844573259	0.103906891165205	"sex        "	"ns"	"Desulfobacterota"
7	0.00257276572587408	0.000367537960839154	2.24836427820651	0.0559054895272042	"Plant:sex  "	"ns"	"Desulfobacterota"
32	0.00523100943243711	0.00016346904476366	NA	NA	"Residuals  "	NA	"Desulfobacterota"
7	0.00033790989256113	4.82728417944472e-05	2.5572007273292	0.0327729834707375	"Plant      "	"*"	"Bacillota"
1	1.97106534880497e-05	1.97106534880497e-05	1.04415020044609	0.314521571630749	"sex        "	"ns"	"Bacillota"
7	0.00011362958111596	1.623279730228e-05	0.859914592240829	0.547843493992128	"Plant:sex  "	"ns"	"Bacillota"
32	0.000604071053520957	1.88772204225299e-05	NA	NA	"Residuals  "	NA	"Bacillota"
7	7.4557362225125e-05	1.06510517464464e-05	2.04956794412502	0.0789453100665388	"Plant      "	"ns"	"Bacillota_B"
1	4.48864962068534e-05	4.48864962068534e-05	8.63744970353276	0.00606671377920775	"sex        "	"**"	"Bacillota_B"
7	8.10075458319051e-05	1.1572506547415e-05	2.22688228518579	0.0580287019753711	"Plant:sex  "	"ns"	"Bacillota_B"
32	0.000166295368183947	5.19673025574836e-06	NA	NA	"Residuals  "	NA	"Bacillota_B"
7	2.11049281104098e-06	3.01498973005855e-07	0.475939099654067	0.844717894883481	"Plant      "	"ns"	"Actinomycetota"
1	3.19051635827765e-07	3.19051635827765e-07	0.503647315230076	0.483041458880658	"sex        "	"ns"	"Actinomycetota"
7	6.22496938332768e-06	8.89281340475383e-07	1.40379834898077	0.237964654932744	"Plant:sex  "	"ns"	"Actinomycetota"
32	2.02714320870042e-05	6.33482252718882e-07	NA	NA	"Residuals  "	NA	"Actinomycetota"
7	3.18861283215635e-06	4.55516118879479e-07	1.98451402873306	0.0883770478845048	"Plant      "	"ns"	"Spirochaetota"
1	1.5005437434043e-06	1.5005437434043e-06	6.53731006674066	0.0155086878021474	"sex        "	"*"	"Spirochaetota"
7	3.93288104838078e-06	5.61840149768683e-07	2.44772822060428	0.0395833119016614	"Plant:sex  "	"*"	"Spirochaetota"
32	7.34513114701899e-06	2.29535348344343e-07	NA	NA	"Residuals  "	NA	"Spirochaetota"
7	2.42306676209277e-05	3.46152394584681e-06	5.86291707748165	0.0001951054763155	"Plant      "	"***"	"Patescibacteria"
1	8.12562938601868e-06	8.12562938601868e-06	13.7626929750796	0.000785435451438126	"sex        "	"***"	"Patescibacteria"
7	5.26808957164764e-06	7.52584224521092e-07	1.27468102812982	0.293837204952476	"Plant:sex  "	"ns"	"Patescibacteria"
32	1.88931149465749e-05	5.90409842080467e-07	NA	NA	"Residuals  "	NA	"Patescibacteria"
7	0.000110199227678195	1.57427468111707e-05	1.78871151611112	0.123981145568346	"Plant      "	"ns"	"Others"
1	2.14989629424614e-05	2.14989629424614e-05	2.44274033374785	0.127906491942855	"sex        "	"ns"	"Others"
7	0.000103163998249036	1.47377140355766e-05	1.67451837552789	0.150816941335343	"Plant:sex  "	"ns"	"Others"
32	0.000281637308990281	8.80116590594627e-06	NA	NA	"Residuals  "	NA	"Others"
