"Var1"	"Freq"	"Freq_pct"
"Others"	1	0.00221729490022173
"Others"	1	0.00221729490022173
"p__Patescibacteria"	1	0.00221729490022173
"Others"	1	0.00221729490022173
"p__Spirochaetota"	1	0.00221729490022173
"p__Bacillota"	2	0.00443458980044346
"Others"	3	0.00665188470066519
"p__Bacillota_B"	6	0.0133037694013304
"p__Bacillota_C"	29	0.0643015521064302
"p__Desulfobacterota"	41	0.0909090909090909
"p__Bacteroidota"	52	0.11529933481153
"p__Pseudomonadota"	107	0.237250554323725
"p__Bacillota_A"	206	0.456762749445676
