"s.Apple"	"s.Apricot"	"s.Elm"	"s.Filbert"	"s.Locust"	"s.Rose"	"s.Seabuckthorn"	"s.Willow"	"index"	"stat"	"padj"	"GenusID"	"Domain"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"tag"	"baseMean"
0	0	0	0	0	0	1	0	7	0.665407235486517	0.001998001998002	"Genus3"	"d__Bacteria"	"p__Acidobacteriota"	"c__Aminicenantia"	"o__JdFR-78"	"f__JdFR-78"	"g__JdFR-78"	"Seabuckthorn"	6.85017811457148e-07
0	0	0	0	0	1	0	1	35	0.487751349614206	0.032967032967033	"Genus6"	"d__Bacteria"	"p__Acidobacteriota"	"c__Blastocatellia"	"o__Pyrinomonadales"	"f__Pyrinomonadaceae"	"g__JACMLC01"	"None"	4.56607192632171e-05
0	0	0	0	0	1	0	0	6	0.544483991743341	0.016983016983017	"Genus7"	"d__Bacteria"	"p__Acidobacteriota"	"c__Blastocatellia"	"o__Pyrinomonadales"	"f__Pyrinomonadaceae"	"g__JAFDVJ01"	"Rose"	1.35128015723675e-06
0	1	0	1	0	1	1	0	141	0.487503237356326	0.044955044955045	"Genus8"	"d__Bacteria"	"p__Acidobacteriota"	"c__Blastocatellia"	"o__Pyrinomonadales"	"f__Pyrinomonadaceae"	"g__JAIBCC01"	"None"	1.16787843801077e-06
0	1	0	0	0	0	0	0	2	0.588587654468214	0.003996003996004	"Genus10"	"d__Bacteria"	"p__Acidobacteriota"	"c__Blastocatellia"	"o__Pyrinomonadales"	"f__Pyrinomonadaceae"	"g__JAIVJZ01"	"Apricot"	2.65762521922209e-06
0	1	0	0	0	1	0	0	19	0.563620556888106	0.00699300699300699	"Genus12"	"d__Bacteria"	"p__Acidobacteriota"	"c__Blastocatellia"	"o__Pyrinomonadales"	"f__Pyrinomonadaceae"	"g__OLB17"	"None"	5.70724517032985e-06
0	1	0	0	0	0	0	0	2	0.583220963319749	0.00599400599400599	"Genus14"	"d__Bacteria"	"p__Acidobacteriota"	"c__Blastocatellia"	"o__Pyrinomonadales"	"f__Pyrinomonadaceae"	"g__QHXN01"	"Apricot"	2.06108840857656e-06
0	0	0	0	0	1	0	0	6	0.504585469778062	0.044955044955045	"Genus15"	"d__Bacteria"	"p__Acidobacteriota"	"c__Blastocatellia"	"o__Pyrinomonadales"	"f__Pyrinomonadaceae"	"g__SXVE01"	"Rose"	7.83131934325354e-07
0	0	0	0	1	0	0	0	5	0.573207465784532	0.001998001998002	"Genus17"	"d__Bacteria"	"p__Acidobacteriota"	"c__Blastocatellia"	"o__RBC074"	"f__RBC074"	"g__CAIOZW01"	"Locust"	2.40680921788467e-06
0	0	1	0	1	1	0	0	77	0.538663375560465	0.00999000999000999	"Genus18"	"d__Bacteria"	"p__Acidobacteriota"	"c__Blastocatellia"	"o__RBC074"	"f__RBC074"	"g__RBC074"	"None"	1.12754067100636e-05
0	1	0	0	0	0	0	0	2	0.514563090391618	0.014985014985015	"Genus20"	"d__Bacteria"	"p__Acidobacteriota"	"c__Holophagae"	"o__Holophagales"	"f__Holophagaceae"	"g__Geothrix"	"Apricot"	2.77432804331368e-05
0	1	1	0	1	1	0	0	132	0.565698342449635	0.002997002997003	"Genus21"	"d__Bacteria"	"p__Acidobacteriota"	"c__Holophagae"	"o__Holophagales"	"f__Holophagaceae"	"g__Holophaga"	"None"	2.81140441027016e-05
1	0	0	0	0	0	0	0	1	0.558067023478382	0.00999000999000999	"Genus22"	"d__Bacteria"	"p__Acidobacteriota"	"c__Holophagae"	"o__Holophagales"	"f__Holophagaceae"	"g__JAJZQW01"	"Apple"	3.38946661770713e-07
0	1	0	1	0	0	1	0	65	0.528447032190815	0.016983016983017	"Genus23"	"d__Bacteria"	"p__Acidobacteriota"	"c__Holophagae"	"o__Holophagales"	"f__Holophagaceae"	"g__WRHW01"	"None"	3.14249844525599e-05
0	1	0	0	1	0	0	0	18	0.564614454702027	0.003996003996004	"Genus24"	"d__Bacteria"	"p__Acidobacteriota"	"c__Polarisedimenticolia"	"o__Gp22-AA2"	"f__Gp22-AA2"	"g__Gp22-AA3"	"None"	7.2889891496323e-06
0	1	0	0	0	0	0	0	2	0.527304093381849	0.017982017982018	"Genus26"	"d__Bacteria"	"p__Acidobacteriota"	"c__Terriglobia"	"o__Bryobacterales"	"f__Bryobacteraceae"	"g__BOG-234"	"Apricot"	3.54608474255529e-06
0	1	0	0	0	0	0	0	2	0.55388357148255	0.00699300699300699	"Genus27"	"d__Bacteria"	"p__Acidobacteriota"	"c__Terriglobia"	"o__Bryobacterales"	"f__Bryobacteraceae"	"g__CADEFT01"	"Apricot"	3.99246667918706e-07
