Item	Apple	Locust	Willow	Rose	Seabuckthorn	Filbert	Apricot	Elm
Total degree	96	948	898	3370	2434	1698	1846	564
Total edges/links	48	474	449	1685	1217	849	923	282
Total vertices	59	359	219	562	589	569	599	175
Connectance	0.02805377	0.007376169	0.018809434	0.010688844	0.007027939	0.005253843	0.005153517	0.018522167
Average degree	1.627118644	2.640668524	4.100456621	5.996441281	4.132427844	2.984182777	3.081803005	3.222857143
Diameter	2	2	2	2	2	2	2	2
Average path length	1.505154639	1.80902498	1.713099042	1.678373735	1.725715574	1.946593697	1.833303233	1.709577755
Global clustering coefficient	0	0	0	0	0	0	0	0
Number of clusters	16	49	26	58	63	42	63	31
Betweenness centralization	0.005642823	0.012152322	0.008702661	0.000801504	0.001570265	0.043513351	0.004333757	0.006753284
Degree centralization	0.075394506	0.104355675	0.086695153	0.058829873	0.040591109	0.204253199	0.085147487	0.136650246
