name1	name2	D.ij.bMNTD	G.ij.bMNTD	Ds.ij.bMNTD	Gs.ij.bMNTD	C.ij.bMNTD	E.ij.bMNTD	ST.ij.bMNTD	MST.ij.bMNTD	bNTI.wt	RC.bMNTD.wt	Plant
A8	A7	7.46E-05	4.90E-05	0.512338344	0.336565871	0.487661656	0.663434129	0.656921105	0.482874215	2.012914056	0.939393939	Locust
A9	A7	7.46E-05	6.20E-05	0.512596777	0.425955749	0.487403223	0.574044251	0.830976252	0.70555624	0.870710643	0.676767677	Locust
A10	A7	4.23E-05	4.07E-05	0.290297008	0.279820353	0.709702992	0.720179647	0.963910567	0.949888291	0.124100711	0.313131313	Locust
A11	A7	4.70E-05	4.48E-05	0.322666188	0.30777116	0.677333812	0.69222884	0.953837656	0.933313463	0.170860361	0.373737374	Locust
A12	A7	4.93E-05	4.30E-05	0.338404996	0.295622615	0.661595004	0.704377385	0.873576392	0.820517225	0.516137366	0.535353535	Locust
A9	A8	7.65E-05	5.53E-05	0.525534699	0.379689525	0.474465301	0.620310475	0.722482313	0.552614863	1.504535678	0.818181818	Locust
A10	A8	5.86E-05	4.74E-05	0.402599992	0.325466947	0.597400008	0.674533053	0.8084127	0.715970479	0.811152571	0.676767677	Locust
A11	A8	5.99E-05	4.83E-05	0.41119312	0.33165262	0.58880688	0.66834738	0.806561695	0.71057221	0.897520408	0.676767677	Locust
A12	A8	4.80E-05	3.66E-05	0.329584142	0.251377035	0.670415858	0.748622965	0.762709742	0.683031019	1.146940698	0.818181818	Locust
A10	A9	2.66E-05	2.77E-05	0.182718513	0.190219687	0.817281487	0.809780313	0.990821799	0.951749468	-0.282499889	-0.151515152	Locust
A11	A9	4.02E-05	3.18E-05	0.27585134	0.218710622	0.72414866	0.781289378	0.792856844	0.734870124	1.253281	0.777777778	Locust
A12	A9	3.18E-05	3.57E-05	0.2186935	0.245123553	0.7813065	0.754876447	0.966171979	0.861996042	-0.358603556	-0.070707071	Locust
A11	A10	1.85E-06	2.02E-06	0.012695365	0.013894441	0.987304635	0.986105559	0.998785506	0.912591378	-0.309752556	-0.111111111	Locust
A12	A10	3.77E-06	3.50E-06	0.025867356	0.024073887	0.974132644	0.975926113	0.930666699	0.928956403	0.291729812	0.393939394	Locust
A12	A11	3.33E-06	3.03E-06	0.022878697	0.020827313	0.977121303	0.979172687	0.910336537	0.908429367	0.330132261	0.353535354	Locust
A14	A13	9.28E-05	7.84E-05	0.173343851	0.146492098	0.826656149	0.853507902	0.845095436	0.818508343	0.955981404	0.696969697	Willow
A15	A13	4.33E-05	4.10E-05	0.080935645	0.076678752	0.919064355	0.923321248	0.947403968	0.943036043	0.162048346	0.252525253	Willow
A16	A13	0.0001739	0.000131989	0.324858964	0.246565045	0.675141036	0.753434955	0.758991046	0.680119761	1.396718722	0.797979798	Willow
A17	A13	0.000304253	0.000268611	0.568368595	0.501785635	0.431631405	0.498214365	0.8828525	0.76486527	0.7432152	0.636363636	Willow
A18	A13	0.000125303	8.74E-05	0.234076448	0.163260818	0.765923552	0.836739182	0.697467939	0.638439233	1.724795798	0.858585859	Willow
A15	A14	1.04E-05	1.06E-05	0.01936163	0.019804876	0.98063837	0.980195124	0.999548002	0.977177443	-0.069868958	0.01010101	Willow
A16	A14	5.18E-05	4.41E-05	0.09685039	0.082386829	0.90314961	0.917613171	0.850660781	0.837252533	0.835595943	0.636363636	Willow
A17	A14	0.000116627	0.000117069	0.217869158	0.21869363	0.782130842	0.78130637	0.998945865	0.995179854	-0.019145258	0.090909091	Willow
A18	A14	1.15E-05	1.78E-05	0.021443977	0.033219525	0.978556023	0.966780475	0.987966404	0.637755323	-1.160974808	-0.898989899	Willow
A16	A15	6.79E-05	5.65E-05	0.126768567	0.105542955	0.873231433	0.894457045	0.832564076	0.812807194	0.645281619	0.616161616	Willow
A17	A15	0.000183897	0.000177596	0.343534073	0.331763288	0.656465927	0.668236712	0.965736194	0.948725048	0.152734949	0.232323232	Willow
A18	A15	2.08E-05	3.16E-05	0.03888564	0.059019591	0.96111436	0.940980409	0.979051452	0.645057716	-0.785909514	-0.656565657	Willow
A17	A16	4.65E-05	5.61E-05	0.086924438	0.104752137	0.913075562	0.895247863	0.980475111	0.81360868	-0.737057701	-0.515151515	Willow
A18	A16	5.69E-05	3.75E-05	0.106287105	0.070004324	0.893712895	0.929995676	0.658634217	0.632938312	2.137190655	0.939393939	Willow
A18	A17	0.000171404	0.00014739	0.32019681	0.275335753	0.67980319	0.724664247	0.859895364	0.806662691	0.744130585	0.575757576	Willow
A2	A1	1.92E-05	2.40E-05	0.114577497	0.143478915	0.885422503	0.856521085	0.967358614	0.772500467	-0.279228493	0.03030303	Apple
A3	A1	5.86E-06	6.23E-06	0.034992875	0.03718288	0.965007125	0.96281712	0.997730581	0.938966022	-0.136604894	-0.01010101	Apple
A4	A1	5.21E-05	5.34E-05	0.310936172	0.318733348	0.689063828	0.681266652	0.988684392	0.964498199	-0.105772151	0.01010101	Apple
A5	A1	7.48E-05	5.73E-05	0.446704001	0.342158337	0.553295999	0.657841663	0.765962105	0.644233698	0.920224949	0.696969697	Apple
A6	A1	6.59E-05	5.38E-05	0.39389588	0.321048451	0.60610412	0.678951549	0.815059176	0.727608215	1.034010839	0.656565657	Apple
A3	A2	6.43E-06	5.97E-06	0.038419533	0.035670476	0.961580467	0.964329524	0.928446369	0.925799606	0.221112769	0.333333333	Apple
A4	A2	4.52E-05	4.08E-05	0.270210337	0.243519053	0.729789663	0.756480947	0.901220344	0.86942215	0.341062568	0.414141414	Apple
A5	A2	7.76E-05	6.02E-05	0.46343053	0.359711774	0.53656947	0.640288226	0.776193521	0.650459793	0.794673778	0.616161616	Apple
A6	A2	5.79E-05	4.79E-05	0.345804575	0.286053401	0.654195425	0.713946599	0.827211154	0.757980714	0.677805375	0.555555556	Apple
A4	A3	3.25E-05	3.41E-05	0.194078918	0.203682821	0.805921082	0.796317179	0.988083321	0.941493943	-0.23699814	-0.090909091	Apple
A5	A3	2.57E-05	2.45E-05	0.153652104	0.14624118	0.846347896	0.85375882	0.951768162	0.943506483	0.187592354	0.313131313	Apple
A6	A3	3.88E-05	3.79E-05	0.231949825	0.226605326	0.768050175	0.773394674	0.976958385	0.970207172	0.089133473	0.272727273	Apple
A5	A4	1.60E-05	1.90E-05	0.095298245	0.113575981	0.904701755	0.886424019	0.979796949	0.822118631	-0.364714782	-0.171717172	Apple
A6	A4	1.14E-05	1.11E-05	0.068014791	0.066069274	0.931985209	0.933930726	0.971395682	0.96937212	0.064585494	0.212121212	Apple
A6	A5	1.24E-05	1.28E-05	0.073919101	0.076487387	0.926080899	0.923512613	0.997226715	0.963741936	-0.10174272	0.090909091	Apple
A32	A31	2.43E-05	1.66E-05	0.094334007	0.064297545	0.905665993	0.935702455	0.681594554	0.659715069	2.100711876	0.939393939	Filbert
A33	A31	1.45E-05	1.36E-05	0.056201483	0.052676057	0.943798517	0.947323943	0.937271656	0.933783639	0.215674196	0.191919192	Filbert
A34	A31	0.000130271	0.000106138	0.50500968	0.411457075	0.49499032	0.588542925	0.814750868	0.685241086	1.387725889	0.797979798	Filbert
A35	A31	4.84E-05	3.51E-05	0.187487478	0.136153958	0.812512522	0.863846042	0.726202944	0.683048781	1.759127617	0.858585859	Filbert
A36	A31	7.69E-05	6.60E-05	0.29819959	0.255793892	0.70180041	0.744206108	0.857794244	0.808916167	1.185138068	0.737373737	Filbert
A33	A32	3.80E-05	3.28E-05	0.147503571	0.127333059	0.852496429	0.872666941	0.86325408	0.843301133	0.681338701	0.555555556	Filbert
A34	A32	0.000148228	0.000123073	0.574622781	0.477106694	0.425377219	0.522893306	0.830295473	0.675450947	1.619519739	0.858585859	Filbert
A35	A32	3.62E-05	2.40E-05	0.140278581	0.092946136	0.859721419	0.907053864	0.662582519	0.628007229	2.513564329	0.97979798	Filbert
A36	A32	8.45E-05	6.73E-05	0.327713528	0.260854325	0.672286472	0.739145675	0.795982779	0.723982392	1.689224336	0.878787879	Filbert
A34	A33	0.000179476	0.000172003	0.695757599	0.666788034	0.304242401	0.333211966	0.95836256	0.875042183	0.297099133	0.313131313	Filbert
A35	A33	6.85E-05	6.31E-05	0.265657078	0.244636693	0.734342922	0.755363307	0.920873989	0.895247744	0.487201931	0.494949495	Filbert
A36	A33	0.000114059	0.00010273	0.442162799	0.398244886	0.557837201	0.601755114	0.900674788	0.83494081	0.863754464	0.636363636	Filbert
A35	A34	8.43E-05	6.71E-05	0.32660538	0.260143724	0.67339462	0.739856276	0.796507772	0.724957084	1.616022294	0.838383838	Filbert
A36	A34	4.94E-05	4.28E-05	0.19134973	0.165901038	0.80865027	0.834098962	0.867004296	0.84055165	0.671901067	0.575757576	Filbert
A36	A35	7.33E-05	4.55E-05	0.284264567	0.176230217	0.715735433	0.823769783	0.619951404	0.538647078	2.70646334	0.95959596	Filbert
A26	A25	4.21E-05	3.01E-05	0.40590531	0.29079517	0.59409469	0.70920483	0.716411347	0.600131526	1.196760891	0.777777778	Sea buckthorn
A27	A25	4.16E-05	2.34E-05	0.401469801	0.225904612	0.598530199	0.774095388	0.562693909	0.435074672	2.845941976	1	Sea buckthorn
A28	A25	5.54E-05	4.55E-05	0.534412033	0.439459264	0.465587967	0.560540736	0.822322922	0.683025574	0.933443281	0.656565657	Sea buckthorn
A29	A25	5.75E-05	4.77E-05	0.554342854	0.460627964	0.445657146	0.539372036	0.830944171	0.686569163	0.902324275	0.676767677	Sea buckthorn
A30	A25	4.51E-05	4.28E-05	0.435431231	0.413125572	0.564568769	0.586874428	0.948773406	0.912712853	0.218670032	0.232323232	Sea buckthorn
A27	A26	2.42E-05	2.17E-05	0.233186854	0.20905183	0.766813146	0.79094817	0.896499212	0.869143401	0.523539108	0.353535354	Sea buckthorn
A28	A26	1.22E-05	1.31E-05	0.117264518	0.126711888	0.882735482	0.873288112	0.989297621	0.915537685	-0.296254648	-0.212121212	Sea buckthorn
A29	A26	2.23E-05	2.32E-05	0.214998304	0.223901472	0.785001696	0.776098528	0.988658409	0.949345617	-0.146281644	0.050505051	Sea buckthorn
A30	A26	2.01E-05	1.68E-05	0.193722745	0.162362983	0.806277255	0.837637017	0.838120394	0.806742536	0.771436302	0.555555556	Sea buckthorn
A28	A27	3.05E-05	2.63E-05	0.294158991	0.254123732	0.705841009	0.745876268	0.863899251	0.817529053	0.779323596	0.535353535	Sea buckthorn
A29	A27	4.03E-05	3.52E-05	0.388934704	0.339469915	0.611065296	0.660530085	0.872819811	0.807457386	0.380105982	0.515151515	Sea buckthorn
A30	A27	1.70E-05	1.30E-05	0.163964476	0.125165399	0.836035524	0.874834601	0.763369009	0.729513452	1.15839568	0.777777778	Sea buckthorn
A29	A28	2.79E-05	3.02E-05	0.269285492	0.291192721	0.730714508	0.708807279	0.970019442	0.897042213	-0.298476983	-0.191919192	Sea buckthorn
A30	A28	1.42E-05	1.46E-05	0.137329691	0.140877943	0.862670309	0.859122057	0.995886897	0.97080378	-0.092061017	0.050505051	Sea buckthorn
A30	A29	2.07E-05	2.82E-05	0.199587091	0.272356828	0.800412909	0.727643172	0.909084755	0.666190687	-0.657785289	-0.535353535	Sea buckthorn
A38	A37	8.68E-06	4.71E-06	0.078613645	0.042675464	0.921386355	0.957324536	0.542850601	0.522471866	3.245872357	0.97979798	Apricot
A39	A37	2.99E-05	2.23E-05	0.270975244	0.201700506	0.729024756	0.798299494	0.744350306	0.679757164	1.209950483	0.797979798	Apricot
