"name1"	"name2"	"D.ij.bMNTD"	"G.ij.bMNTD"	"Ds.ij.bMNTD"	"Gs.ij.bMNTD"	"C.ij.bMNTD"	"E.ij.bMNTD"	"ST.ij.bMNTD"	"MST.ij.bMNTD"	"bNTI.wt"	"RC.bMNTD.wt"	"Plant"	"sex"
"A8"	"A7"	7.45907885394703e-05	4.87888268800897e-05	0.000555692947456583	0.000363471248163567	0.999444307052543	0.999636528751837	0.654086487559689	0.653960712227849	1.99116953049903	0.919191919191919	"HS"	"F"
"A9"	"A7"	7.46284135023964e-05	6.25881612084105e-05	0.000555973249179567	0.000466274729880157	0.99944402675082	0.99953372527012	0.838663965520328	0.838588703511658	0.774051374960475	0.757575757575758	"HS"	"F"
"HS1"	"A7"	0.0742342426160602	0.0455080392463044	0.553036720609235	0.339029750950644	0.446963279390765	0.660970249049356	0.613032983735985	0.414546998415478	1.48810328426995	0.797979797979798	"HS"	"F"
"HS2"	"A7"	0.0255276922715046	0.0480130311058887	0.190178423339909	0.357691657294086	0.809821576660091	0.642308342705914	0.793147973847468	0.421702961379213	-1.20064303804277	-0.818181818181818	"HS"	"F"
"HS3"	"A7"	0.0285309956423467	0.0382739407513785	0.212552694143689	0.285136534461728	0.787447305856311	0.714863465538272	0.907823876241334	0.676729872821549	-0.610675858762647	-0.393939393939394	"HS"	"F"
"A9"	"A8"	7.65120316893607e-05	5.59007831494904e-05	0.000570005991863915	0.000416454518871777	0.999429994008136	0.999583545481128	0.730614282684949	0.730502049045447	1.52845453217675	0.797979797979798	"HS"	"F"
"HS1"	"A8"	0.0762175612707137	0.0460973188324777	0.567812220513849	0.343419817291655	0.432187779486151	0.656580182708345	0.604812303935398	0.398112056269377	1.98791783225575	0.898989898989899	"HS"	"F"
"HS2"	"A8"	0.0260960421512617	0.0430042900302142	0.194412565732729	0.32037710216084	0.805587434267271	0.67962289783916	0.843636418506598	0.511938960559977	-1.1992799578063	-0.878787878787879	"HS"	"F"
"HS3"	"A8"	0.0345927370853936	0.037810956960383	0.257711983047357	0.28168735752607	0.742288016952643	0.71831264247393	0.96770071194583	0.885336394441554	-0.254774164202705	0.0505050505050505	"HS"	"F"
"HS1"	"A9"	0.0621298543853726	0.0446878969178068	0.462860395827385	0.332919783261864	0.537139604172615	0.667080216738136	0.719266081658928	0.579160179994853	0.789988249319525	0.616161616161616	"HS"	"F"
"HS2"	"A9"	0.0217590215967156	0.0472350586076376	0.162102252591848	0.351895850076356	0.837897747408152	0.648104149923644	0.773488354549715	0.356310552110416	-1.2629337603195	-0.858585858585859	"HS"	"F"
"HS3"	"A9"	0.0233378710687703	0.0333076469784912	0.173864502782461	0.248138206938609	0.826135497217539	0.751861793061391	0.91009500934616	0.637681791276573	-0.681185741127274	-0.434343434343434	"HS"	"F"
"HS2"	"HS1"	0.00617404030308923	0.00770750413320881	0.0459959027236174	0.0574200350094196	0.954004097276383	0.94257996499058	0.988025069998738	0.791450318703254	-1.16100281211126	-0.777777777777778	"HS"	"F"
"HS3"	"HS1"	0.00561908317013103	0.00785839238807872	0.0418615347813558	0.0585441354610575	0.958138465218644	0.941455864538942	0.98258852839616	0.702592386637562	-1.70319270688609	-0.939393939393939	"HS"	"F"
"HS3"	"HS2"	0.000473955836295238	0.000866422286437908	0.00353091743353516	0.00645474814679003	0.996469082566465	0.99354525185321	0.997065808900238	0.545421287858996	-1.54918182363854	-0.97979797979798	"HS"	"F"
