"name1"	"name2"	"D.ij.bMNTD"	"G.ij.bMNTD"	"Ds.ij.bMNTD"	"Gs.ij.bMNTD"	"C.ij.bMNTD"	"E.ij.bMNTD"	"ST.ij.bMNTD"	"MST.ij.bMNTD"	"bNTI.wt"	"RC.bMNTD.wt"	"Plant"	"sex"
"A14"	"A13"	9.27925884016798e-05	7.92279002211173e-05	0.000603808784251158	0.000515542274822661	0.999396191215749	0.999484457725177	0.85381711606272	0.853741713733106	0.96231203307002	0.717171717171717	"LS"	"F"
"A15"	"A13"	4.33256096110774e-05	4.1894318484792e-05	0.000281923202238546	0.000272609676559849	0.999718076797761	0.99972739032344	0.966964316506249	0.966955308203506	0.0980825316718716	0.292929292929293	"LS"	"F"
"LS1"	"A13"	0.0677806490041819	0.0412109808104208	0.441054096840224	0.268163143733229	0.558945903159776	0.731836856266771	0.608005107886739	0.464368473989003	1.30193910326321	0.818181818181818	"LS"	"F"
"LS2"	"A13"	0.0430470315392264	0.0269062781539275	0.280110472474448	0.175081301003479	0.719889527525552	0.82491869899652	0.625043753119407	0.545462786409483	0.933265522456384	0.676767676767677	"LS"	"F"
"LS3"	"A13"	0.0872590096234195	0.0453635024041019	0.567801345163502	0.29518393341315	0.432198654836498	0.70481606658685	0.519871845897352	0.318789430513806	1.86199230329953	0.898989898989899	"LS"	"F"
"A15"	"A14"	1.03644620096344e-05	1.00938632553365e-05	6.74423821260858e-05	6.56815744186291e-05	0.999932557617874	0.999934318425581	0.973891673871115	0.973889958922509	0.085459866936939	0.191919191919192	"LS"	"F"
"LS1"	"A14"	0.0544714044993347	0.0399193461310881	0.354449779812382	0.25975837370948	0.645550220187618	0.74024162629052	0.73284958407077	0.639103764985539	0.705382611643549	0.656565656565657	"LS"	"F"
"LS2"	"A14"	0.0377579853053734	0.0341228315154766	0.245694226184533	0.222039990126992	0.754305773815467	0.777960009873008	0.90372490056085	0.876246724487978	0.203463698840993	0.333333333333333	"LS"	"F"
"LS3"	"A14"	0.0713460542535023	0.0444764447855195	0.464254473573285	0.289411778638046	0.535745526426715	0.710588221361954	0.623390392795775	0.470003025827823	1.1749792484423	0.777777777777778	"LS"	"F"
"LS1"	"A15"	0.0583551320698865	0.0450264314555317	0.379721505314708	0.292990585828303	0.620278494685292	0.707009414171697	0.771593343351665	0.676939723757531	0.737673399597915	0.575757575757576	"LS"	"F"
"LS2"	"A15"	0.0313593799816437	0.0327207695681759	0.204057990274184	0.212916661050538	0.795942009725816	0.787083338949462	0.988870205783703	0.947726992517251	-0.0837391627989847	0.0303030303030303	"LS"	"F"
"LS3"	"A15"	0.0793082025022802	0.0494346575414877	0.516064808180085	0.321675265063063	0.483935191819915	0.678324734936937	0.623323388776419	0.444695745528725	1.46556934285139	0.818181818181818	"LS"	"F"
"LS2"	"LS1"	0.00412263879380981	0.00776777730806741	0.0268263399143622	0.0505455473708179	0.973173660085638	0.949454452629182	0.975626952897216	0.517800313369336	-2.8849236953858	-1	"LS"	"F"
"LS3"	"LS1"	0.003225496250077	0.00416017080027939	0.0209885617258027	0.0270705636782128	0.979011438274197	0.972929436321787	0.993787608893384	0.770511202483158	-1.19922991859655	-0.818181818181818	"LS"	"F"
"LS3"	"LS2"	0.00804316506710766	0.00999565725250989	0.0523375175146396	0.0650425401143354	0.94766248248536	0.934957459885665	0.986593304225387	0.793878041185877	-1.20525126484283	-0.838383838383838	"LS"	"F"
