"name1"	"name2"	"D.ij.bMNTD"	"G.ij.bMNTD"	"Ds.ij.bMNTD"	"Gs.ij.bMNTD"	"C.ij.bMNTD"	"E.ij.bMNTD"	"ST.ij.bMNTD"	"MST.ij.bMNTD"	"bNTI.wt"	"RC.bMNTD.wt"	"Plant"
"A2"	"A1"	1.91834849685431e-05	2.40223925160692e-05	0.114577497231232	0.143478915145549	0.885422502768768	0.856521084854451	0.967358613742095	0.772500466533408	-0.279228493458471	0.0303030303030303	"PG"
"A3"	"A1"	5.85878815122081e-06	6.22545647871484e-06	0.0349928745624503	0.0371828801504402	0.96500712543755	0.96281711984956	0.997730580914626	0.938966022099633	-0.136604894138223	-0.0101010101010102	"PG"
"A4"	"A1"	5.20594315893532e-05	5.33648974600089e-05	0.310936171846239	0.318733348033246	0.689063828153761	0.681266651966754	0.988684391970047	0.96449819857327	-0.105772151330322	0.0101010101010101	"PG"
"A5"	"A1"	7.47907722132793e-05	5.72868972835513e-05	0.446704001397071	0.342158337009946	0.553295998602929	0.657841662990054	0.76596210452524	0.644233698408521	0.920224948577896	0.696969696969697	"PG"
"A6"	"A1"	6.59492122891772e-05	5.37525106117799e-05	0.393895879755733	0.321048451096983	0.606104120244267	0.678951548903017	0.815059175780348	0.727608215168724	1.03401083892746	0.656565656565657	"PG"
"A3"	"A2"	6.43250687629727e-06	5.97223765558623e-06	0.0384195332608958	0.0356704761710021	0.961580466739104	0.964329523828998	0.928446369422929	0.925799606038237	0.221112769194278	0.333333333333333	"PG"
"A4"	"A2"	4.524078520968e-05	4.07719160179644e-05	0.270210337204157	0.243519053098054	0.729789662795843	0.756480946901946	0.901220344187141	0.869422149735039	0.341062568211741	0.414141414141414	"PG"
"A5"	"A2"	7.75912619174671e-05	6.02258347843654e-05	0.463430529546353	0.359711774454418	0.536569470453647	0.640288225545582	0.776193520971819	0.650459792794911	0.794673778112153	0.616161616161616	"PG"
"A6"	"A2"	5.78973797002314e-05	4.78933582687836e-05	0.345804574777567	0.286053401320685	0.654195425222433	0.713946598679315	0.827211153885642	0.757980713916154	0.677805375148049	0.555555555555556	"PG"
"A4"	"A3"	3.24942514662708e-05	3.41022139841664e-05	0.194078918064822	0.203682820653127	0.805921081935178	0.796317179346873	0.988083321303316	0.941493943090182	-0.236998139593478	-0.0909090909090908	"PG"
"A5"	"A3"	2.5725669506161e-05	2.4484873170035e-05	0.153652103955417	0.146241180497029	0.846347896044583	0.853758819502971	0.951768161531079	0.943506482899937	0.187592354271743	0.313131313131313	"PG"
"A6"	"A3"	3.8834902914753e-05	3.79400840404405e-05	0.231949824992004	0.226605326468293	0.768050175007996	0.773394673531707	0.976958385185699	0.970207171573756	0.0891334732029288	0.272727272727273	"PG"
"A5"	"A4"	1.59555977131029e-05	1.90158030353142e-05	0.0952982451203991	0.113575980756423	0.904701754879601	0.886424019243577	0.979796949063666	0.822118631054025	-0.364714782259542	-0.171717171717172	"PG"
"A6"	"A4"	1.13875826899931e-05	1.10618486481194e-05	0.0680147911744217	0.0660692744269641	0.931985208825578	0.933930725573036	0.971395681529502	0.969372119700905	0.0645854936156567	0.212121212121212	"PG"
"A6"	"A5"	1.23761296732475e-05	1.28061327217242e-05	0.0739191010233625	0.0764873868784641	0.926080898976637	0.923512613121536	0.997226715443608	0.963741936160028	-0.101742720216701	0.0909090909090909	"PG"
