"name1"	"name2"	"D.ij.bMNTD"	"G.ij.bMNTD"	"Ds.ij.bMNTD"	"Gs.ij.bMNTD"	"C.ij.bMNTD"	"E.ij.bMNTD"	"ST.ij.bMNTD"	"MST.ij.bMNTD"	"bNTI.wt"	"RC.bMNTD.wt"	"Plant"	"sex"
"A20"	"A19"	1.22636465019544e-05	1.47038320547742e-05	6.31872785773821e-05	7.57601038200172e-05	0.999936812721423	0.99992423989618	0.999987426380265	0.834033757855993	-0.58288062102752	-0.272727272727273	"YJ"	"F"
"A21"	"A19"	2.62850733560574e-05	2.61214911053762e-05	0.000135431354149962	0.000134588512076647	0.99986456864585	0.999865411487923	0.993776610456234	0.993775772746749	0.0184317352666298	0.212121212121212	"YJ"	"F"
"YJ1"	"A19"	0.00714659884573753	0.0186215514599615	0.0368221745526055	0.0959457824763729	0.963177825447394	0.904054217523627	0.938616103525531	0.360223087559003	-1.77095128554378	-1	"YJ"	"F"
"YJ2"	"A19"	0.113642978091776	0.051031139395834	0.585534695076546	0.262933118678193	0.414465304923454	0.737066881321807	0.449047888859635	0.252507302794118	2.36587220559601	0.95959595959596	"YJ"	"F"
"YJ3"	"A19"	0.0544950220062805	0.0401939811610519	0.280780446178277	0.207095685965238	0.719219553821723	0.792904314034762	0.737571610787121	0.669028930013649	0.716302738423304	0.636363636363636	"YJ"	"F"
"A21"	"A20"	1.81281217586227e-05	2.40063191435599e-05	9.34034326139659e-05	0.000123690288618473	0.999906596567386	0.999876309711382	0.999969710314835	0.755116707193531	-1.17375219659104	-0.898989898989899	"YJ"	"F"
"YJ1"	"A20"	0.0152474505148925	0.0213429199823631	0.0785610465146577	0.109967376372552	0.921438953485342	0.890032623627448	0.965915995043296	0.690053486033598	-1.0645252607221	-0.757575757575758	"YJ"	"F"
"YJ2"	"A20"	0.107850220794318	0.0512334275715715	0.555688061040954	0.26397538936915	0.444311938959046	0.73602461063085	0.475042398561978	0.286766238715744	2.35843273199133	0.95959595959596	"YJ"	"F"
"YJ3"	"A20"	0.0538645247404725	0.0404372126172659	0.277531868655226	0.208348913036006	0.722468131344774	0.791651086963994	0.75072067955855	0.68511466156455	0.731316506072725	0.616161616161616	"YJ"	"F"
"YJ1"	"A21"	0.00826440546786394	0.0230807091823473	0.0425815674392717	0.118921170847195	0.957418432560728	0.881078829152805	0.920265162219883	0.32951519723456	-1.56788681989661	-1	"YJ"	"F"
"YJ2"	"A21"	0.102884003549157	0.0497300432316341	0.530100096442026	0.256229343763435	0.469899903557974	0.743770656236565	0.483360303993941	0.305377683733552	2.6183474753845	0.97979797979798	"YJ"	"F"
"YJ3"	"A21"	0.0476853917414369	0.0391231858292627	0.245694470364715	0.201578514305215	0.754305529635285	0.798421485694785	0.820443838259717	0.775111059813184	0.54328832516938	0.454545454545455	"YJ"	"F"
"YJ2"	"YJ1"	0.00594808477242821	0.00816041637049233	0.0306469441578742	0.0420457734514408	0.969353055842126	0.957954226548559	0.988240786754766	0.720323535995487	-1.93730003616344	-0.95959595959596	"YJ"	"F"
"YJ3"	"YJ1"	0.00411935476573788	0.00601056007518996	0.021224585778811	0.0309688422457867	0.978775414221189	0.969031157754213	0.990044440915254	0.678529826664722	-1.88694415696459	-0.95959595959596	"YJ"	"F"
"YJ3"	"YJ2"	0.000548993255901087	0.00128313963539479	0.0028286358215069	0.00661125559860601	0.997171364178493	0.993388744401394	0.996206650217824	0.426228539254131	-1.36981048730983	-0.95959595959596	"YJ"	"F"
