OTU ID	PG1	PG2	PG3	PG4	PG5	PG6	HS1	HS2	HS3	HS4	HS5	HS6	LS1	LS2	LS3	LS4	LS5	LS6	YJ1	YJ2	YJ3	YJ4	YJ5	YJ6	SJ1	SJ2	SJ3	SJ4	SJ5	SJ6	SHT1	SHT2	SHT3	SHT4	SHT5	SHT6	XS1	XS2	XS3	XS4	XS5	XS6	YS1	YS2	YS3	YS4	YS5	YS6	taxonomy
ASV1	4561	3155	6024	13295	11112	15116	7594	1915	1956	2770	9137	13683	5396	2030	5660	7866	2345	7309	6768	8428	8339	11957	4657	9464	4537	7336	5778	8240	20727	10369	9332	6694	8967	7475	3919	6073	9382	2182	9312	2909	11337	10309	14663	2051	11118	10946	12314	13601	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Burkholderia; s__Burkholderia sp000949135
ASV2	2275	1129	1846	3631	3562	1181	4572	900	885	3463	9611	4824	1612	1005	1953	4474	1672	4115	2753	4405	4755	5131	2674	5190	3579	4246	1815	3527	429	3750	4808	5695	7743	7392	4757	2882	2414	438	5150	454	956	5357	3179	458	3893	3166	2448	5221	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae; g__Bradyrhizobium; s__Bradyrhizobium sp002831585
ASV3	403	734	163	0	213	964	254	8116	10890	7904	46	0	111	8040	209	47	6865	63	69	0	337	17	79	110	42	747	146	114	172	413	171	55	32	406	1516	29	139	10663	196	8313	17	37	486	8917	567	0	238	0	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Azotobacter; s__Azotobacter chroococcum
ASV4	666	511	1190	2557	2040	2848	1507	279	283	599	1735	1942	532	326	881	1749	332	1185	1002	1358	1353	1741	601	1353	884	1216	710	770	3830	1448	1326	1196	1446	1368	333	1320	1429	344	1673	446	1782	2043	2222	333	2312	1785	2104	2182	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Burkholderia; s__Burkholderia metallica
ASV5	3164	782	2040	145	155	25	3937	862	658	996	24	182	3802	666	1398	2149	1056	677	2489	677	688	83	1350	1969	3534	468	3495	1775	65	2096	2465	4301	39	1319	4455	738	1648	85	1143	54	1693	922	353	76	42	0	35	0	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Beijerinckiaceae; g__Methylobacterium; s__Methylobacterium sp022829585
ASV6	1152	312	1372	818	1247	404	2229	219	238	207	1307	1560	687	244	1049	1049	357	1163	805	1680	1631	742	521	967	1309	1903	1422	528	119	482	669	1341	529	1139	291	201	2354	316	2070	158	1525	1513	937	133	1477	1289	1182	556	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__Stenotrophomonas; s__Stenotrophomonas lactitubi
ASV7	1251	1142	2479	1579	1834	1008	70	11	10	202	16	13	1942	534	1774	2455	708	2349	1357	3506	2606	1431	1470	1964	2486	2721	858	94	77	32	193	108	318	488	48	136	872	31	1269	11	611	1770	99	6	65	776	103	25	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__Pseudoxanthomonas_A; s__Pseudoxanthomonas_A sp004173415
ASV8	4857	13456	1775	28	241	221	115	0	51	162	0	0	223	311	188	0	96	274	1726	486	442	0	338	420	0	335	0	39	94	2820	2343	1286	1194	874	557	396	3023	614	243	536	3601	47	445	678	45	211	146	157	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Aureimonas_A; s__Aureimonas_A sp001425485
ASV9	390	271	104	0	128	1019	120	6503	5685	4745	0	0	33	1991	0	0	1475	0	0	0	168	0	0	40	33	128	113	70	57	104	0	0	150	197	860	0	64	1920	0	1762	45	0	391	1730	405	54	96	0	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Stutzerimonas; s__Stutzerimonas stutzeri_T
ASV10	27	121	0	0	0	194	0	1104	971	423	0	0	25	1666	0	0	1246	0	25	0	34	0	0	31	0	92	175	16	45	110	0	0	0	28	221	0	43	2883	35	3002	0	0	72	3267	76	0	72	0	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia; s__Escherichia coli
ASV11	95	0	0	0	0	0	0	0	0	0	0	0	97	0	0	0	132	116	0	0	0	0	5110	144	0	77	219	784	0	0	97	93	60	103	1183	6817	0	0	0	0	0	0	0	0	0	0	0	0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__UBA932; g__Cryptobacteroides; s__Cryptobacteroides sp900771005
ASV12	164	0	278	0	0	0	0	0	0	0	0	0	4701	522	6862	442	541	447	224	0	164	0	206	104	0	0	0	106	0	0	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Aureimonas_A; s__Aureimonas_A sp001425485
ASV13	558	204	241	252	254	97	247	61	45	45	345	798	434	120	435	550	97	244	432	199	189	361	227	641	317	292	38	376	21	306	345	784	766	65	633	258	290	41	213	21	311	276	216	45	736	243	509	334	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__Pseudoxanthomonas_A; s__Pseudoxanthomonas_A sp004173415
ASV14	557	332	219	172	324	0	518	199	249	341	352	0	376	210	274	0	110	274	322	681	688	438	202	0	669	286	117	484	34	390	430	278	0	104	0	0	380	0	918	0	233	867	143	0	623	438	626	293	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__UBA932; g__Cryptobacteroides; s__Cryptobacteroides sp900771005
ASV15	0	129	266	331	261	133	0	66	68	23	234	198	191	70	300	232	70	158	260	377	352	617	29	77	208	260	377	181	40	222	233	23	53	28	35	37	296	33	145	34	204	111	60	25	243	136	619	103	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Undibacterium; s__Undibacterium luofuense
ASV16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	127	0	0	2649	539	5029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Aureimonas_A; s__Aureimonas_A sp001425485
ASV17	121	345	940	249	382	240	244	0	0	205	84	69	118	0	268	96	140	624	118	528	430	97	241	529	0	215	0	0	0	0	0	0	0	56	57	0	252	34	170	0	194	156	98	0	31	39	152	0	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Stutzerimonas; s__Stutzerimonas stutzeri_T
ASV18	0	25	0	0	0	0	0	0	0	0	0	0	57	19	18	19	0	176	0	0	0	0	1369	31	0	34	608	1373	0	0	31	29	0	16	2100	1325	0	0	0	0	0	0	0	0	0	0	0	0	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Oxalicibacterium; s__Oxalicibacterium solurbis
ASV19	20	68	0	60	0	0	0	425	329	508	0	0	0	691	0	0	415	0	0	0	36	0	0	0	0	51	0	0	42	49	0	0	0	30	0	0	0	1116	27	1138	0	0	35	1220	32	0	0	0	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Beijerinckiaceae; g__Microvirga; s__Microvirga calopogonii
ASV20	0	0	0	0	30	0	871	134	118	82	399	513	55	40	0	0	0	0	100	0	33	0	44	0	31	0	0	3169	0	0	0	30	0	0	105	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Aureimonas_A; s__Aureimonas_A sp001425485
ASV21	66	17	20	343	181	39	18	64	37	359	607	108	160	21	161	233	54	83	76	179	176	177	85	12	414	48	0	0	0	0	10	288	0	37	10	9	51	22	286	18	21	261	214	14	129	252	204	224	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Ralstonia; s__Ralstonia sp001078575
