Sample	Plant	sex	Rep	Combinetag	Repplant
PGF1	Apple	Male	1	PGF	1
PGF2	Apple	Male	2	PGF	2
PGF3	Apple	Male	3	PGF	3
PGFM1	Apple	Female	1	PGFM	4
PGFM2	Apple	Female	2	PGFM	5
PGFM3	Apple	Female	3	PGFM	6
HSF1	Locust	Male	1	HSF	1
HSF2	Locust	Male	2	HSF	2
HSF3	Locust	Male	3	HSF	3
HSM1	Locust	Female	1	HSFM	4
HSM2	Locust	Female	2	HSFM	5
HSM3	Locust	Female	3	HSFM	6
LSF1	Willow	Male	1	LSF	1
LSF2	Willow	Male	2	LSF	2
LSF3	Willow	Male	3	LSF	3
LSM1	Willow	Female	1	LSFM	4
LSM2	Willow	Female	2	LSFM	5
LSM3	Willow	Female	3	LSFM	6
YJF1	Rose	Male	1	YJF	1
YJF2	Rose	Male	2	YJF	2
YJF3	Rose	Male	3	YJF	3
YJM1	Rose	Female	1	YJFM	4
YJM2	Rose	Female	2	YJFM	5
YJM3	Rose	Female	3	YJFM	6
SJF1	Seabuckthorn	Male	1	SJF	1
SJF2	Seabuckthorn	Male	2	SJF	2
SJF3	Seabuckthorn	Male	3	SJF	3
SJM1	Seabuckthorn	Female	1	SJFM	4
SJM2	Seabuckthorn	Female	2	SJFM	5
SJM3	Seabuckthorn	Female	3	SJFM	6
SHTF1	Filbert	Male	1	SHTF	1
SHTF2	Filbert	Male	2	SHTF	2
SHTF3	Filbert	Male	3	SHTF	3
SHTM1	Filbert	Female	1	SHTFM	4
SHTM2	Filbert	Female	2	SHTFM	5
SHTM3	Filbert	Female	3	SHTFM	6
XSF1	Apricot	Male	1	XSF	1
XSF2	Apricot	Male	2	XSF	2
XSF3	Apricot	Male	3	XSF	3
XSM1	Apricot	Female	1	XSFM	4
XSM2	Apricot	Female	2	XSFM	5
XSM3	Apricot	Female	3	XSFM	6
YSF1	Elm	Male	1	YSF	1
YSF2	Elm	Male	2	YSF	2
YSF3	Elm	Male	3	YSF	3
YSM1	Elm	Female	1	YSFM	4
YSM2	Elm	Female	2	YSFM	5
YSM3	Elm	Female	3	YSFM	6
