"Df"	"Sum Sq"	"Mean Sq"	"F value"	"Pr(>F)"	"Item"	"signif"	"phylum"	"sign"
7	0.000873828087005618	0.000124832583857945	4.62096633372473	0.00115750823706318	"Plant      "	"**"	"Benzenoids"	"**"
1	9.58540918262494e-05	9.58540918262494e-05	3.54826053895435	0.0687226128999934	"sex        "	"ns"	"Benzenoids"	"ns"
7	0.000298866480453031	4.26952114932902e-05	1.58046183796262	0.176997856720311	"Plant:sex  "	"ns"	"Benzenoids"	"ns"
32	0.000864460460207329	2.7014389381479e-05	NA	NA	"Residuals  "	NA	"Benzenoids"	NA
7	0.000869909526332402	0.000124272789476057	3.59578037231186	0.00574740000894797	"Plant      "	"**"	"Lignans, neolignans and related compounds"	"**"
1	2.00519084210471e-06	2.00519084210471e-06	0.0580193452096668	0.811190930987414	"sex        "	"ns"	"Lignans, neolignans and related compounds"	"ns"
7	0.00020052436367945	2.86463376684929e-05	0.828869611451266	0.571149730148744	"Plant:sex  "	"ns"	"Lignans, neolignans and related compounds"	"ns"
32	0.00110594331451814	3.45607285786917e-05	NA	NA	"Residuals  "	NA	"Lignans, neolignans and related compounds"	NA
7	0.0231063258919272	0.00330090369884674	3.27314625277903	0.00975734630737831	"Plant      "	"**"	"Lipids and lipid-like molecules"	"**"
1	0.0109115910387029	0.0109115910387029	10.8198349841789	0.00244734439193638	"sex        "	"**"	"Lipids and lipid-like molecules"	"**"
7	0.0147516283503919	0.00210737547862742	2.08965446446609	0.073638719610029	"Plant:sex  "	"ns"	"Lipids and lipid-like molecules"	"ns"
32	0.0322713713979058	0.00100848035618456	NA	NA	"Residuals  "	NA	"Lipids and lipid-like molecules"	NA
7	0.000417362109264346	5.96231584663352e-05	2.38496280092123	0.0441210999285327	"Plant      "	"*"	"Nucleosides, nucleotides, and analogues"	"*"
1	0.000442644003642869	0.000442644003642869	17.7060308426155	0.000194643346532021	"sex        "	"***"	"Nucleosides, nucleotides, and analogues"	"***"
7	0.000222122648622394	3.17318069460563e-05	1.26929168328257	0.296397898314263	"Plant:sex  "	"ns"	"Nucleosides, nucleotides, and analogues"	"ns"
32	0.000799987769279149	2.49996177899734e-05	NA	NA	"Residuals  "	NA	"Nucleosides, nucleotides, and analogues"	NA
7	0.00274396636521191	0.000391995195030273	0.860406666467639	0.547477881700715	"Plant      "	"ns"	"Organic acids and derivatives"	"ns"
1	0.00197361001258861	0.00197361001258861	4.33195925196832	0.0454874814541967	"sex        "	"*"	"Organic acids and derivatives"	"*"
7	0.00785085719206438	0.00112155102743777	2.46173930962741	0.0386368450339626	"Plant:sex  "	"*"	"Organic acids and derivatives"	"*"
32	0.0145789737920871	0.000455592931002722	NA	NA	"Residuals  "	NA	"Organic acids and derivatives"	NA
7	0.0013539614865404	0.000193423069505771	1.36517573566973	0.253604102510051	"Plant      "	"ns"	"Organic nitrogen compounds"	"ns"
1	0.000629689795865305	0.000629689795865305	4.44433661667484	0.0429390456667201	"sex        "	"*"	"Organic nitrogen compounds"	"*"
7	0.000915791943852353	0.000130827420550336	0.923377033318404	0.501769999843258	"Plant:sex  "	"ns"	"Organic nitrogen compounds"	"ns"
32	0.00453387652773377	0.00014168364149168	NA	NA	"Residuals  "	NA	"Organic nitrogen compounds"	NA
7	0.00495860572667256	0.000708372246667508	10.1404905697992	1.26959041633512e-06	"Plant      "	"***"	"Organic oxygen compounds"	"***"
1	0.000187001671586839	0.000187001671586839	2.67696637775407	0.111608927491025	"sex        "	"ns"	"Organic oxygen compounds"	"ns"
7	0.00048181892817824	6.88312754540343e-05	0.98533349228813	0.459091608672203	"Plant:sex  "	"ns"	"Organic oxygen compounds"	"ns"
32	0.00223538612233128	6.98558163228524e-05	NA	NA	"Residuals  "	NA	"Organic oxygen compounds"	NA
7	0.00297711755201585	0.000425302507430835	3.35657307680689	0.0085000118121962	"Plant      "	"**"	"Organoheterocyclic compounds"	"**"
1	0.00166190189761154	0.00166190189761154	13.1160646089639	0.00100052369765234	"sex        "	"**"	"Organoheterocyclic compounds"	"**"
7	0.000280520633683643	4.00743762405204e-05	0.316275051307182	0.941162338114286	"Plant:sex  "	"ns"	"Organoheterocyclic compounds"	"ns"
32	0.00405463546491102	0.00012670735827847	NA	NA	"Residuals  "	NA	"Organoheterocyclic compounds"	NA
7	0.00272050746045035	0.000388643922921479	1.91525872932025	0.0996436350941719	"Plant      "	"ns"	"Phenylpropanoids and polyketides"	"ns"
1	0.00176568221315934	0.00176568221315934	8.70137952122865	0.00590216399312787	"sex        "	"**"	"Phenylpropanoids and polyketides"	"**"
7	0.00110253374679834	0.000157504820971191	0.776192461746134	0.611654335255609	"Plant:sex  "	"ns"	"Phenylpropanoids and polyketides"	"ns"
32	0.00649343367718326	0.000202919802411977	NA	NA	"Residuals  "	NA	"Phenylpropanoids and polyketides"	NA
