"leaf_p__Cyanobacteriota"	"leaf_p__Desulfobacterota"	"beetle_p__Bacillota_A"	"beetle_p__Bacillota_B"	"beetle_p__Spirochaetota"	"beetle_p__Patescibacteria"	"CAZy_SLH"	"Kegg_Organoheterocyclic.compounds"	"Kegg_Phenylpropanoids.and.polyketides"	"Kegg_Lipids.and.lipid.like.molecules"	"Kegg_Organic.nitrogen.compounds"
"leaf_p__Cyanobacteriota"	0	0.400860217855422	0.0371110015792675	0.00434178768766146	0.0448499734632089	0.00762191417299606	0.0423771546565294	0.0288265677148177	0.332635868103006	0.299088725480816	0.774008579291863
"leaf_p__Desulfobacterota"	0.400860217855422	0	0.486111617092758	0.272068621383047	0.321074661412459	0.957568615236487	0.360369869723062	0.0736715694453868	0.779186300906874	0.127514269882862	0.73155976361454
"beetle_p__Bacillota_A"	0.0371110015792675	0.486111617092758	0	0	0	0.00864354762612833	4.11378456875743e-06	0.111505011846953	0.0865455317657328	0.911312717341742	0.500129235993455
"beetle_p__Bacillota_B"	0.00434178768766146	0.272068621383047	0	0	0	0.0292869556839472	0	0.0798940052759266	0.105656104903514	0.347042564250073	0.989148675083455
"beetle_p__Spirochaetota"	0.0448499734632089	0.321074661412459	0	0	0	0.0571342487231916	2.15754081289338e-06	0.268227924403717	0.240840516431169	0.625370389007061	0.616520002390725
"beetle_p__Patescibacteria"	0.00762191417299606	0.957568615236487	0.00864354762612833	0.0292869556839472	0.0571342487231916	0	0.143721845586626	0.0172480931096563	0.0069526769525656	0.734280771201938	0.24024127304046
"CAZy_SLH"	0.0423771546565294	0.360369869723062	4.11378456875743e-06	0	2.15754081289338e-06	0.143721845586626	0	0.018310793616012	0.156096023608364	0.207224720143954	0.297972961982442
"Kegg_Organoheterocyclic.compounds"	0.0288265677148177	0.0736715694453868	0.111505011846953	0.0798940052759266	0.268227924403717	0.0172480931096563	0.018310793616012	0	0.0143070843684411	0.000654826240570963	0.0137797903113592
"Kegg_Phenylpropanoids.and.polyketides"	0.332635868103006	0.779186300906874	0.0865455317657328	0.105656104903514	0.240840516431169	0.0069526769525656	0.156096023608364	0.0143070843684411	0	0.00600290008924424	0.112189009045176
"Kegg_Lipids.and.lipid.like.molecules"	0.299088725480816	0.127514269882862	0.911312717341742	0.347042564250073	0.625370389007061	0.734280771201938	0.207224720143954	0.000654826240570963	0.00600290008924424	0	0.989735200711383
"Kegg_Organic.nitrogen.compounds"	0.774008579291863	0.73155976361454	0.500129235993455	0.989148675083455	0.616520002390725	0.24024127304046	0.297972961982442	0.0137797903113592	0.112189009045176	0.989735200711383	0
