"leaf_p__Cyanobacteriota"	"leaf_p__Desulfobacterota"	"beetle_p__Bacillota_A"	"beetle_p__Bacillota_B"	"beetle_p__Spirochaetota"	"beetle_p__Patescibacteria"	"CAZy_SLH"	"Kegg_Organoheterocyclic.compounds"	"Kegg_Phenylpropanoids.and.polyketides"	"Kegg_Lipids.and.lipid.like.molecules"	"Kegg_Organic.nitrogen.compounds"
"leaf_p__Cyanobacteriota"	1	0.124056648703228	0.301778097555837	0.404582227809688	0.29092198140103	-0.380567182982388	0.294211713569153	0.315704630400892	0.142884033835485	-0.153027374687199	-0.042547202707727
"leaf_p__Desulfobacterota"	0.124056648703228	1	0.102978797449849	0.161744475821986	0.146303210616453	0.00788726496109958	0.134972210249803	0.260557464313508	-0.0415470013443837	-0.223065183688563	-0.0508228692915923
"beetle_p__Bacillota_A"	0.301778097555837	0.102978797449849	1	0.930525401650022	0.957229700390795	-0.376899696048632	0.621580547112462	0.232631350412505	0.250108554059922	-0.0165002171081198	-0.0994355188884064
"beetle_p__Bacillota_B"	0.404582227809688	0.161744475821986	0.930525401650022	1	0.945505861919236	-0.315675206252714	0.783434650455927	0.255427702996092	0.23643074250977	-0.138406426400347	-0.00206252713851498
"beetle_p__Spirochaetota"	0.29092198140103	0.146303210616453	0.957229700390795	0.945505861919236	1	-0.276812852800695	0.636452453321754	0.16272253582284	0.172275293095962	-0.0720798957881025	-0.0739253148067738
"beetle_p__Patescibacteria"	-0.380567182982388	0.00788726496109958	-0.376899696048632	-0.315675206252714	-0.276812852800695	1	-0.214068606165871	-0.343573599652627	-0.38677811550152	0.0501519756838906	0.172492401215805
"CAZy_SLH"	0.294211713569153	0.134972210249803	0.621580547112462	0.783434650455927	0.636452453321754	-0.214068606165871	1	0.340534085974815	0.207772470690404	-0.185084672166739	0.153061224489796
"Kegg_Organoheterocyclic.compounds"	0.315704630400892	0.260557464313508	0.232631350412505	0.255427702996092	0.16272253582284	-0.343573599652627	0.340534085974815	1	0.352909248805905	-0.47937472861485	-0.354754667824577
"Kegg_Phenylpropanoids.and.polyketides"	0.142884033835485	-0.0415470013443837	0.250108554059922	0.23643074250977	0.172275293095962	-0.38677811550152	0.207772470690404	0.352909248805905	1	-0.39329135909683	-0.232197134172818
"Kegg_Lipids.and.lipid.like.molecules"	-0.153027374687199	-0.223065183688563	-0.0165002171081198	-0.138406426400347	-0.0720798957881025	0.0501519756838906	-0.185084672166739	-0.47937472861485	-0.39329135909683	1	-0.00195397307859314
"Kegg_Organic.nitrogen.compounds"	-0.042547202707727	-0.0508228692915923	-0.0994355188884064	-0.00206252713851498	-0.0739253148067738	0.172492401215805	0.153061224489796	-0.354754667824577	-0.232197134172818	-0.00195397307859314	1
