Compound_ID,Name,ChineseName,IonMode,Formula,MolecularWeight,m/z,MassError,Adduct,RT (min),Score,Level,Column,ClassI,ClassI_(Chinese),ClassII,ClassII_(Chinese),ClassIII,ClassIII_(Chinese),CAS,HMDB_ID,SuperClass(HMDB),Class(HMDB),SubClass(HMDB),Other_name(KEGG_name),KEGG,KEGG_MapID,Lipidmaps_ID,CATEGORY(Lipidmaps),MAIN_CLASS(Lipidmaps),SUB_CLASS(Lipidmaps),PubChemID,SMILES,InChIKey,PGF1,PGF2,PGF3,PGFM1,PGFM2,PGFM3,HSF1,HSF2,HSF3,HSM1,HSM2,HSM3,LSF1,LSF2,LSF3,LSM1,LSM2,LSM3,YJF1,YJF2,YJF3,YJM1,YJM2,YJM3,SJF1,SJF2,SJF3,SJM1,SJM2,SJM3,SHTF1,SHTF2,SHTF3,SHTM1,SHTM2,SHTM3,XSF1,XSF2,XSF3,XSM1,XSM2,XSM3,YSF1,YSF2,YSF3,YSM1,YSM2,YSM3,PG.aver,HS.aver,LS.aver,YJ.aver,SJ.aver,SHT.aver,XS.aver,YS.aver,P-value
Com_555_pos,"7,8,3',4'-Tetrahydroxyflavone","3,’4,7,8-四羟基黄酮",P,C15H10O6,286.04774,287.05441,2.18147,[M+H]+,5.917,0.78,1,C18,Benzenoids,苯类化合物,Indanes,茚满,_,_,3440-24-2,_,_,_,_,_,_,_,_,_,_,_,_,C1=CC(=C(C=C1C2=CC(=O)C3=C(O2)C(=C(C=C3)O)O)O)O,RTYGVBRBJCTRMM-UHFFFAOYSA-N,21516287.68,27527703.14,79095267.5,8178261.644,11162825.88,9764059,86737318.26,19045582.13,18588580.19,9045316.679,13371640.58,26174891.48,306063535.7,1820791804,303459525.4,121202554.5,59886313.55,230927807.6,36771261.48,20945126.17,19234409.67,15560255.35,22745654.74,18475227,61631034.44,122548292.3,457384416.3,92466037.35,164298049.5,78997122.46,58228591.62,47044588.26,610179001.4,74720217.91,64132585.6,56017243.16,19205223.54,913865645.7,23962761.78,16017088.94,12932686.41,15206883.58,64481588.32,649849253.6,63875124.62,69046779.5,82261743.91,84943783.2,26207400.81,28827221.55,473721923.4,22288655.74,162887492.1,151720371.3,166865048.3,169076378.9,0.00006329
Com_903_pos,20-Deoxyingenol,20-去氧巨大戟萜醇,P,C20H28O4,332.19876,355.18567,6.44157,[M+Na]+,5.173,0.67,1,C18,Lipids and lipid-like molecules,脂质和类脂分子,Prenol lipids,异戊烯醇脂,Diterpenoids,二萜类,54706-99-9,_,_,_,_,_,_,_,_,_,_,_,_,CC1CC2C(C2(C)C)C3C=C(C(C4(C1(C3=O)C=C(C4O)C)O)O)C,FOSYZKSOJUQLTD-UHFFFAOYSA-N,76325.84811,3143142.04,1714985.754,85927.01221,492131.0602,412441.8655,5935053.18,15200976.3,1903124.062,142453.2421,1445144.186,1188705.302,1032086.086,1917089.004,4319052.601,588493.761,433698.0489,230037.3093,5523112.001,28225020.51,17228305.06,3324034.369,1825408.182,42294.15113,158651.1079,1798090.516,13625083.7,3263941.216,5159963.314,2526691.464,16406516.2,15324215.94,2573309.779,3675024.995,2695327.366,1393303.874,5256768.842,1048086.431,6873132.591,4342414.828,2430450.41,1161341.574,2022346.09,944245.4036,913980.8133,4981373.576,1241207.196,22459884.71,987492.2634,4302576.046,1420076.135,9361362.379,4422070.219,7011283.026,3518699.113,5427172.965,0.15964
Com_378_pos,Cyclo(L-Phe-L-Pro),环(L-苯丙氨酸-L-脯氨酸)二肽,P,C14H16N2O2,244.12118,245.128,1.94727,[M+H]+,5.682,0.63,1,C18,Organic acids and derivatives,有机酸及其衍生物,Carboxylic acids and derivatives,羧酸及其衍生物,"Amino acids, peptides, and analogues",氨基酸、肽和类似物,3705-26-8,HMDB0250631,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues","Cyclo(L-Phe-L-Pro); (3S-trans)-3-Benzylhexahydropyrrolo(1,2-a)pyrazine-1,4-dione",C11847,_,_,_,_,_,443440,O=C1NC(CC2=CC=CC=C2)C(=O)N2CCCC12,QZBUWPVZSXDWSB-UHFFFAOYSA-N,967576.7308,1353445.409,1024719.659,653016.88,1300398.823,1223501.916,992920.2472,1356297.081,1551696.444,2836535.5,1684959.525,2145592.493,1868556.622,2153309.724,1352762.063,1468996.064,1184189.75,1099299.39,1253687.738,3071576.505,1172379.918,1147781.783,1143493.206,2012726.287,1727668.718,1805323.855,2132810.287,1558553.539,1277354.512,1290714.229,614650.2325,663449.5281,1349954.875,1496279.899,1524046.669,1385637.145,1293297.116,1261749.7,938787.3026,1831685.756,1109731.134,7648742.905,1108084.532,854869.267,1218588.723,1501939.786,1343022.389,3572658.782,1087109.903,1761333.548,1521185.602,1633607.573,1632070.857,1172336.392,2347332.319,1599860.58,0.40394
Com_347_pos,Ambroxide,降龙涎香醚,P,C16H28O,236.21401,237.22048,3.51812,[M+H]+,8.96,0.83,1,C18,Organoheterocyclic compounds,有机杂环化合物,Naphthofurans,萘并呋喃类,_,_,6790-58-5,HMDB0036831,Organoheterocyclic compounds,Naphthofurans,_,_,_,_,_,_,_,_,10857465,CC1(CCCC2(C1CCC3(C2CCO3)C)C)C,YPZUZOLGGMJZJO-LQKXBSAESA-N,291689788.2,206204005.2,213316733.6,194545437.9,262186860.4,260039025.8,238236422.9,221462505.2,277082583.6,344558436.3,294961916.6,279948715.1,280107346.7,206577646.2,272221614.4,339259320.9,291297767,310804561.3,217650836.4,132452584.9,250276645.9,307700722.3,277541463.1,347375319.1,215627336.4,236237961.9,156352196.9,191745997.7,165704115.1,309982101.7,203784745.3,140320467.2,263824374.7,262024709.3,248353305.2,297857464.6,231016998.1,318818662.8,238457057.5,244602934.6,202472532.6,217486930.6,197830690.3,308900760.5,295465739,302478938.1,331084504.5,239656143.6,237996975.2,276041763.3,283378042.8,255499595.3,212608284.9,236027511,242142519.4,279236129.3,0.25256
Com_1148_pos,Bayogenin,贝萼皂苷元,P,C30H48O5,488.35018,471.34604,1.77461,[M+H-H2O]+,6.485,0.55,1,C18,Lipids and lipid-like molecules,脂质和类脂分子,Prenol lipids,异戊烯醇脂,Triterpenoids,三萜类,6989-24-8,_,_,_,_,_,_,_,LMPR0106150007,Prenol Lipids [PR],Isoprenoids [PR01],C30 isoprenoids (triterpenes) [PR0106],_,CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CC(C(C5(C)CO)O)O)C)C)C2C1)C)C(=O)O)C,RWNHLTKFBKYDOJ-JEERONPWSA-N,2817988.076,26899790.87,50884672.59,3228807.386,4399958.674,3251131.455,65179.28142,74680.81914,2520381.198,471349.1102,2854353.232,1898786.33,14579197.86,202913.9366,219535.0048,199409.015,204661.1843,656768.8424,8322695.398,62765362.52,28869911.23,10369251.8,2671248.245,497192.1969,7688672.162,7671273.896,19353547.04,3121920.766,3074902.678,3873084.436,134201.9983,872379.1659,4642417.541,116091.0106,1556258.524,162579.7816,10552563.99,3344322.991,13564270.95,3252167.705,4322992.304,2053589.466,1168524.006,1651118.367,161889.6369,464137.6523,370604.5958,1114249.177,15247058.18,1314121.662,2677080.975,18915943.57,7463900.162,1247321.337,6181651.234,821753.9059,0.00012343
Com_1006_pos,Paulownin,泡桐素,P,C20H18O7,370.10525,393.09597,3.87141,[M+Na]+,6.038,0.55,1,C18,"Lignans, neolignans and related compounds",木脂素、新木脂素及相关化合物,Furanoid lignans,呋喃类木脂素,_,_,13040-46-5,_,_,_,_,_,_,_,_,_,_,_,_,C1C2C(OCC2(C(O1)C3=CC4=C(C=C3)OCO4)O)C5=CC6=C(C=C5)OCO6,CAQZFLPWHBKTTR-WNISUXOKSA-N,2866438.487,400589.9198,290574.6206,326482.6282,662823.943,1084186.004,933172.1221,1147156.333,101794.2506,1209804.221,1061152.135,43988.33098,9917871.331,7409164.619,33091711.38,2888901.825,3199990.612,3355849.74,139024.2455,1063085.169,34614.12808,2927789.913,51995.73282,131696.6522,526653.3451,459558.3308,263520.0496,650089.6138,571097.9129,268730.1788,289266.83,311560.0123,72743111.58,719272.8358,65959.73223,262655.5816,1160078.515,100861383.2,1445902.891,1364438.89,876075.5226,593312.2597,3022548.993,2283856.845,101881.2148,1597384.111,1169936.39,101813.6036,938515.9338,749511.232,9977248.252,724700.9735,456608.2385,12398637.76,17716865.21,1379570.193,0.014765
Com_523_pos,Huperzine B,石杉碱甲B,P,C16H20N2O,256.15756,279.14921,8.78564,[M+Na]+,6.542,0.57,1,C18,Organoheterocyclic compounds,有机杂环化合物,Phenanthrolines,菲咯啉,_,_,103548-82-9,HMDB0253233,Organoheterocyclic compounds,Phenanthrolines,_,Huperzine B,C09866,_,_,_,_,_,3631,CC1=CC2CC3=C(C=CC(=O)N3)C3(C1)NCCCC23,YYWGABLTRMRUIT-UHFFFAOYSA-N,10887424.38,11206889.43,8569730.36,8477718.42,10076121.14,10699132.15,8657608.426,14514076.58,15510790.27,15096714.98,10131120.62,13348953.08,12751231.38,15596266.17,13290096.73,12745105.63,14357060.58,11804970.72,15674460.59,47792225.34,14125958.59,17150648.34,9761589.805,15835514.43,9271888.842,17019440.35,9348862.626,9827579.589,14334771.64,14906796.12,9858890.741,10529730.83,11228596.38,11535525.16,15525644.48,12808625.25,16290129.12,12575264.86,10475003.77,17901137.23,9271130.655,7184540.384,17581710.87,14762406.18,13760389.9,13921952.12,14492301.22,8745618.87,9986169.312,12876543.99,13424121.87,20056732.85,12451556.53,11914502.14,12282867.67,13877396.53,0.084815
Com_1295_pos,Rhodiosin,红景天素,P,C27H30O16,610.15339,611.16037,0.51837,[M+H]+,5.5,0.52,1,C18,Phenylpropanoids and polyketides,苯丙素类和聚酮类,Flavonoids,黄酮类化合物,Flavonoid glycosides,黄酮糖苷,86831-54-1,_,_,_,_,_,_,_,LMPK12113125,Polyketides [PK],Flavonoids [PK12],Flavones and Flavonols [PK1211],_,CC1C(C(C(C(O1)OC2=C(C3=C(C(=C2)O)C(=O)C(=C(O3)C4=CC=C(C=C4)O)O)O)O)OC5C(C(C(C(O5)CO)O)O)O)O,WXBBQBYCUTXTJQ-ULMXTSOFSA-N,4308455.255,11685122.11,22495538.65,13797913.25,2829680.095,2360342.186,11582197.72,55194463.59,28925081.07,782756.342,40101617.27,26143856.87,110092421.9,71658445.11,37914670.04,31955887.08,16729494.78,33589109.04,574185286.8,1722558407,468394439.1,538853910.8,665574633.2,32594173.61,80186255.19,128608476.9,80093332.13,147513113.7,192128066.1,66450144.51,17588738.73,9309850.87,7287356.47,40933071.63,8108573.204,2839358.707,996050041.2,242614434.3,1736899911,615826017.1,628326269,333447989.3,34270035.4,206092853.6,69625463.97,19221632.45,20157220.1,69194392.37,9579508.59,27121662.14,50323338,667026808.4,115829898.1,14344491.6,758860777,69760266.31,3.99E-10
Com_896_pos,Colutehydroquinone,鱼鳔槐氢醌,P,C18H20O6,332.12599,355.11696,4.99076,[M+Na]+,5.448,0.69,1,C18,Phenylpropanoids and polyketides,苯丙素类和聚酮类,Isoflavonoids,异黄酮类,O-methylated isoflavonoids,O-甲基化异黄酮,181311-16-0,_,_,_,_,_,_,_,_,_,_,_,101997792,COC1=CC2=C(CC(CO2)C3=CC(=C(C(=C3O)OC)OC)O)C=C1,RRVWIPPRKMQDAO-NSHDSACASA-N,1103686.92,1083888.92,212903.8743,963409.8964,74454.45705,65218.26959,3343908.294,1736354.491,856469.4904,31259.18925,77804.95034,358540.6596,3140406.794,1491485.421,756290.6173,116168.9466,465710.6002,176086.69,2797046.801,852013.2886,808530.5075,503448.7323,2600918.638,154572.2562,5388939.181,9736649.18,16346498.89,10302202.8,17942669.08,5760550.35,168349.5251,217931.04,2408328.079,299948.2533,215653.7256,321520.6588,1760172.56,5648385.282,5924350.899,641819.6766,688924.1383,148571.844,478888.7038,303865.8136,392595.9056,89478.99457,675083.4306,1678135.289,583927.0563,1067389.512,1024358.178,1286088.371,10912918.25,605288.5469,2468704.067,603008.0229,0.00032087
Com_1027_pos,(+)-Praeruptorin A,(+)-白花前胡甲素,P,C21H22O7,386.13655,409.12864,7.06932,[M+Na]+,6.379,0.55,1,C18,Phenylpropanoids and polyketides,苯丙素类和聚酮类,Coumarins and derivatives,香豆素及其衍生物,Pyranocoumarins,吡喃香豆素类,73069-27-9,HMDB0242259,Phenylpropanoids and polyketides,Coumarins and derivatives,Pyranocoumarins,_,_,_,_,_,_,_,73189387,CC=C(C)C(=O)OC1C(OC(C)=O)C2=C(OC1(C)C)C=CC1=C2OC(=O)C=C1,XGPBRZDOJDLKOT-NXIDYTHLSA-N,32801795.09,28759413.3,28509797.51,29783339.5,32838227.95,28838572.57,29199705.95,34306775.31,40872904.44,44074690.58,35921509.34,37959368.22,38501165.89,35429626.47,42671140.62,32336880.63,44690316.93,33139467.93,42908547.05,26051116.89,45308700.94,46344885.5,30233713.15,53992994.71,29900101.17,41994595.59,29389227.53,28947821.78,39262992.92,37926398.79,22415235.27,26541803.42,29566563.07,31629677.27,38984309.65,42399023.67,47406303.65,35600817.51,32671991.46,39886628.55,34739715.49,17368417.01,29597031.87,28917751.85,39553866.01,32173211.86,37419718.88,31672630.01,30255190.99,37055825.64,37794766.41,40806659.71,34570189.63,31922768.73,34612312.28,33222368.41,0.30816
