Plant	Sex	Length	Weight	Rep
PG	Male	11.5	129.2	1
PG	Male	13.5	151.9	2
PG	Male	13	132.2	3
PG	Male	12	135.8	4
PG	Male	13.5	131.1	5
PG	Male	13.5	139.2	6
PG	Male	14	162	7
PG	Male	13.2	102.6	8
PG	Male	11.5	89.3	9
PG	Male	12.5	138.6	10
PG	Male	12.5	117.2	11
PG	Male	12	132.6	12
PG	Male	12.5	93.6	13
PG	Male	13	147.6	14
PG	Male	13	125.7	15
PG	Male	13	127.9	16
PG	Male	12.5	115.7	17
PG	Male	12	102	18
PG	Male	13.5	138.3	19
PG	Male	13	138.1	20
PG	Male	12	106.1	21
PG	Male	13.5	120.2	22
PG	Male	12.5	135.2	23
PG	Male	13	110.6	24
PG	Male	11.8	106.6	25
PG	Male	12.5	120.3	26
PG	Male	12	118.8	27
PG	Male	12	138.6	28
PG	Male	12	103.8	29
PG	Male	12.5	147.1	30
PG	Male	12.5	128.2	31
PG	Male	13	134.3	32
PG	Male	13	126.3	33
PG	Male	12	94.4	34
PG	Male	13	123.3	35
PG	Male	12.2	145.3	36
PG	Male	12	130.9	37
PG	Male	12	120.7	38
PG	Male	13.5	131.2	39
PG	Male	12.5	128.3	40
PG	Male	12	105.7	41
PG	Male	13	146	42
PG	Male	12.5	128.8	43
PG	Male	13	127.2	44
PG	Male	13.5	151.7	45
PG	Male	12.5	134.3	46
PG	Male	12.5	126.6	47
PG	Male	12.5	120.9	48
PG	Male	12.5	120.2	49
PG	Male	12	131.7	50
PG	Male	12.5	127.1	51
PG	Male	13	148.9	52
PG	Male	13.3	138.4	53
PG	Male	12	113.6	54
PG	Male	12.5	115.4	55
PG	Male	13.5	128.4	56
PG	Male	13	114.5	57
PG	Male	12.5	121.4	58
PG	Male	12.7	127.1	59
PG	Male	12.7	127.6	60
PG	Male	12	130	61
PG	Male	13	147	62
PG	Male	12.6	132.6	63
PG	Male	13	111.6	64
PG	Male	12.5	121.5	65
PG	Male	12.5	130.3	66
PG	Male	12.2	128.8	67
PG	Male	12	93	68
PG	Male	12	115.2	69
PG	Male	12.7	113.3	70
PG	Male	12.5	108.1	71
PG	Female	13.5	210.5	1
PG	Female	12	135	2
PG	Female	13.1	130.8	3
PG	Female	13.1	164.2	4
